marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	43531278	R5UIUHID9N23E	B00PWTQAEE	272932040	Act! Pro v17 (2015) DVD - Includes 1 hour Act! 101 training webinar held weekly	Software	3	9	9	N	Y	Not fully compatible with Windows 10 or Outlook 2016.	I used to have version 12, upgraded to version 17.  As far as basic functionality goes, not a lot has changed.  I understand that Swiftpage is still in the process of integrating Act CRM. My review is not to say that Act doesn't do what it's always done, it is good for that, but I was hoping that 5 years later more would have changed.  So my 3 stars are to say that Act is a solid performer, but I was hoping for more. Changing layouts is still buggy, like the version from 5 years ago. The graphics are badly in need of an update.  If I had never encountered this software before, I would have given it 4 stars. The 3 stars is for lack of development over the past 5 years.  EDIT:  The server agent for this version STILL does not start up automatically in my windows 10, and the integration with Outlook 2016 is buggy. They should have had their &#34;act&#34; together by now. No support for this version. I am downgrading my review to 2 stars.    DO NOT BUY THIS SOFTWARE until version 19, which should come out in early 2017.	2015-03-25
US	50777295	ROVVM9OLH6A5I	B000BZHH3M	764212565	Microsoft Office 97 Professional (Windows) [CD-Rom]	Software	4	13	13	N	Y	Great product and can be a great value	Although Office 97 Professional lacks some of the bells and whistles of later versions it is a complete and robust suite that will suit the needs of anyone who doesn't need the absolute latest software.  It doesn't seem to support web-based email like Yahoo!, but for the price and compatibility Office 97 Professional is a very good choice.	2007-04-17
US	44757943	R5ZBCJ9IRHM4G	B00P6U8BA0	489767444	Block Financial H&R Block Tax Software 14 Deluxe + State	Software	5	0	0	N	N	Loved it - a former TurboTax user.	Impressive.  Coming from 10 years of TurboTax, I was really pleased with H&R.  Everything was totally familiar, at half the price.  It even imported last year's TurboTax return and pre-entered my data and knew which tax areas I use.  If you're new to tax software, it will lead you through all the questions and you just plug in the numbers.  I have a 16 page tax return, including self-employed business owner (Schedule C) and stock trading (Schedule D), and this program did it all.<br /><br />There were a few minor differences between the two products, but nothing that gave either one much of an edge.  It seemed like I spent less time answering questions with H&R (there's a checklist where you can simply checkmark the topics that apply to you, so it doesn't have to ask, &#34;Did you have XYZ this year?&#34; as often).  And H&R didn't pester me with ads trying to sell me other products & services.  Everything worked perfectly.  5 Stars!	2015-03-19
US	46627797	R2MTUSDWSO3WK4	B003VNCROU	416322328	Dragon NaturallySpeaking Premium 11 [Old Version]	Software	2	8	10	N	N	Think Twice	I loved version 10.  A few weeks ago I ordered a new Dell Studio 8100, iCore 7, 64 bit, 8 gig, etc.  Version 10 doesn't work on 64 bit processors.  You have to order an updated CD with the right patches.  I decided to upgrade to Version 11 instead even though Pogue at the NY Times says it's probably not worth upgrading from 10.    I get Version 11, start installing it and then get to the part where it wants to adjust to my speaking volume and it freezes.  I reboot maybe 10 times (slow learner) with the same results.  My son, a systems admin for a huge bank, comes over and tries to help me.  Same results.  He does show me how nice Microsoft has been to included their voice recognition system at no charge.  It works.    I try to log on to Nuance support but have the same problem Veil Lord did.  The screen says I'm logged in, but I'm asked again to sign in, except there's no place to sign in.  I'm in a loop.    I check the site for a support phone number.  No luck.    So I Google for the support number.  It's not an 800 number.  I call, wait, and finally get a seemingly young lady to answer.  She asks for all the info about my computer and me, repeatedly asking for my name although I've given it to her several times (bad sign).  When I realize I have a screener and not a technician, I ask if there is a toll free number to call (I'm living mostly off social security and can't afford long long-distance calls).  Sorry, no.    She asks what my problem is and says something like \\"we have no issues with that.\\"  I come unglued and say, \\"Well I have an issue and now YOU do too. \\"  I proceed to tell her that other people already complained to Amazon about this.    After some awkward moments, she says go to this site and follow the instructions.  That's when I realize I might be an ass.  She probably said \\"we know about that issue,\\" instead of what I thought I heard (no known issue).    I find the instructions online which tell me two ways to uninstall my Realtek sound system -literally erasing all the files, even the folders.  I try the first system and lose my sound capabilities.  I reboot and fortunately one of the three previous installed Realtek options reappears, but only one.    The second method to get Dragon working appears even more odious, especially for an old geezer like me.    I decided not to contribute my old computer and to continue using Version 10 on that.  Maybe I'll spend the money for the updated CD if I can find out if it will work with Realtek.    Observations:    It's not wise to release a new version of software that doesn't work on one of the most popular brands of computer or with one of the most popular sound systems.    There ought to be a toll-free number for service, at least during the warranty period.    Nuance should fix its web page navigation to make it easy to find the support number and to get to online support.    They ought to have an escalation process that allows a techie to take over a customer's computer to check out the installation. Dell and Symantec have worked on my old computers remotely.    They should remember how MS Word took over the word processing world from WordPerfect in only a few version releases.        I would dearly love to use Version 11 on my new computer, but I'm not going to risk screwing up a $1600 investment that I need to make a living.      My recommendation is to wait until you see a stream of reviews favorable on the installation aspects of version 11.	2010-09-28
US	41202791	R218VZKG5VLE5O	B000V8AUVA	405456022	Door and Window Alarm, Battery Operated	Software	5	0	0	N	Y	It worked great it scared the heck out of the kids buts ...	It worked great it scared the heck out of the kids buts that's what they need to keep the fridge door shut	2015-07-13
US	21651809	R3E1SYOUH1OREC	B008MR2HWC	681033023	Anime Studio Pro 9	Software	5	0	1	N	Y	Happy Teen	This isn't the newest much more expensive version, but it's good and my kiddo loves it. She uses it all the time.	2014-02-03
US	44346060	R1Y4YABH422MDG	B000B8K7SG	51371146	TurboTax Deluxe 2005 with State Win/Mac  [Old Version]	Software	5	1	2	N	Y	Easy Taxes	For the past several years, I've taken my taxes to the \\"Tax Man\\".  This year, I purchased TurboTax to save the $100+ I've been paying someone else to do them.  It's so easy to use.	2006-03-08
US	15497498	R169FDMVHX7S4C	B00LC9UU6C	325816739	Kaspersky Internet Security 2015 3 User, 1 Year	Software	4	0	4	N	Y	Four Stars	Is OK,	2014-09-18
US	15565788	R1HCAHW261Y1X8	B005TK64AQ	70285996	TurboTax Deluxe Federal + E-file + State 2011 [Old Version]	Software	5	0	0	N	Y	2011 Turbo Tax	Bought this last year and was pleased with its performance.  Liked the efile feature.  Bought it again for 2012 and presently using it.	2013-01-28
US	18021333	R82U8EYI05F63	B00002JV62	987528470	Windows 98: Second Edition	Software	4	0	2	N	Y	MacBook 98	Not bad. Windows 98 will work on most modern Intel computers. It can run both the old and new applications for the most part. Go to CNET.com if you have driver issues.	2008-06-02
